स्त्रियो,स्त्री
समस्याओं,समस्या
रखे,रख
ग्राहकों,ग्राहक
तकनीकों,तकनीक
हमलों,हमला
नेताओं,नेता
लगवाएँ,लगवा
बचे,बच
जाना,जान
लाइनों,लाइन
चाहेंगे,चाह
माँगेगा,माँग
सुविधाएँ,सुविधा
जोड़कर,जोड
कोसते,कोस
"१४,५००",१४५००
मानना,मान
सिफारिशों,सिफारिश
जड़ें,जड़
निकलने,निकल
हुआ,हो
मंत्रों,मंत्र
बुलाकर,बुला
नूडल्स,नूडल
संप्रदायों,संप्रदाय
उतारे,उतार
पहुंचाने,पहुंचा
पुरातत्‍ववेत्‍ता,पुरातत्ववेत्ता
बढ़ती,बढ़
खर्चों,खर्चा
संबंधों,संबंध
डालिए,डाल
कार्रवाईयां,कार्रवाई
बनाये,बना
फैलाकर,फैला
हजारों,हजार
लौटाना,लौटा
दरें,दर
दमकलकर्मियों,दमकलकर्मी
फसलें,फसल
विदेशों,विदेश
खोलकर,खोल
पूछने,पूछ
समानताएं,समानता
पायलेटों,पायलेट
नक्सलियों,नक्सली
देनी,दे
अंकों,अंक
किये,कर
लेते,ले
जिनको,जो
पड़ा,पड़
कागजों,कागज
टूटने,टूट
पड़ती,पड़
फोड़कर,फोड़
सेवाओं,सेवा
रहना,रह
स्‍थानीय,स्थानीय
बढ़ाने,बढ़ा
लगाकर,लगा
पक्षों,पक्ष
विष्‍णु,विष्णु
मिलाने,मिला
हमें,हम
खिलाड़ियों,खिलाडी
