स्त्रियो,स्त्री
मिलाने,मिला
पहनकर,पहन
दोनों,दो
सालों,साल
दौड़ाई,दौड़ा
हिस्‍से,हिस्सा
कराए,करा
समर्थकों,समर्थक
जवानों,जवान
सुधारने,सुधार
बागवानों,बागवान
बताए,बता
माने,मान
होंगे,हो
बिठाने,बिठा
गिराने,गिरा
स्‍थानीय,स्थानीय
आवासों,आवास
तड़के,तडके
दायित्वों,दायित्व
क़ीमत,कीमत
बिना,बिन
पदार्थों,पदार्थ
तक़नीकी,तकनीकी
जाने,जान
पड़ता,पड़
विषयों,विषय
सकूंगी,सक
आना,आ
बैठे,बैठ
धर्मों,धर्म
लेता,ले
चलानी,चला
नूडल्स,नूडल
कहूंगा,कह
बैठकों,बैठक
निकला,निकल
माँगेगा,माँग
उठाते,उठा
ठहाकों,ठहाका
"२८,२७६",२८२७६
करेगा,कर
अड्डों,अड्डा
जताते,जता
मिलते,मिल
भारतीयों,भारतीय
रुकने,रुक
मांगी,मांग
याचियों,याची
देशों,देश
मरीज़ों,मरीज
मैगज़ीन,मैगजीन
शेयरों,शेयर
सेवाएं,सेवा
महीनों,महीना
पड़ी,पड़
ऋषियों,ऋषि
तारों,तार
फैला,फैल
अफसरों,अफसर
पीकर,पी
मिलता,मिल
बजे,बज
सुलझाने,सुलझा
निपटने,निपट
पूछे,पूछ
वाहनों,वाहन
लड़कियों,लड़की
दीं,दे
कराएगा,करा
जनजातियों,जनजाति
कपड़े,कपडा
देखे,देख
